,Election,CandidateID,CandidateName,Date,Name,ContributerType,BoroughName,City,State,ZipCode,ContributionState,Amount,MatchAmt,PrevAmt,PayMethod,TotalAmount
132,2017,326,"de Blasio, Bill",2017-01-11,"Local 768, AFSCME",Labor Union,Manhattan,New York,NY,10007.0,,-50.0,0.0,0.0,Unknown,-50.0
133,2017,326,"de Blasio, Bill",2016-07-06,Local 888 UFCW,Labor Union,Other,Rutherford,NJ,7071.0,,1000.0,0.0,0.0,Check,1000.0
134,2017,326,"de Blasio, Bill",2016-07-11,Local 891 IUOE State Engineers,Labor Union,Brooklyn,Brooklyn,NY,11205.0,,4950.0,0.0,0.0,Check,4950.0
135,2017,326,"de Blasio, Bill",2016-07-05,Local 94 PAC State Fund,Political Action Committee,Manhattan,New York,NY,10036.0,,4950.0,0.0,0.0,Check,4950.0
136,2017,326,"de Blasio, Bill",2017-03-02,Local 983,Labor Union,Manhattan,New York,NY,10007.0,,4950.0,0.0,0.0,Check,4950.0
137,2017,326,"de Blasio, Bill",2015-11-12,Markowitz/Brooklyn,Candidate Committee,Brooklyn,Brooklyn,NY,11218.0,,1000.0,0.0,0.0,Check,1000.0
138,2017,326,"de Blasio, Bill",2017-10-21,Mason Tenders District Council,Political Action Committee,Manhattan,New York,NY,10018.0,,4950.0,0.0,0.0,Check,4950.0
139,2017,2071,"Malliotakis, Nicole",2017-08-21,Metropolitan Funeral Directors,Political Action Committee,Bronx,Bronx,NY,10464.0,,500.0,0.0,0.0,Check,500.0
140,2017,2071,"Malliotakis, Nicole",2017-04-26,Neighborhood Preservation Poli,Political Action Committee,Manhattan,New York,NY,10038.0,,4950.0,0.0,0.0,Check,4950.0
141,2017,326,"de Blasio, Bill",2017-08-07,New York Admin Employ CWA1180,Labor Union,Manhattan,New York,NY,10013.0,,2500.0,0.0,0.0,Check,2500.0
142,2017,326,"de Blasio, Bill",2017-05-09,New York Administrative Employ,Labor Union,Manhattan,New York,NY,10013.0,,1000.0,0.0,0.0,Check,1000.0
143,2017,326,"de Blasio, Bill",2017-07-21,New York City Central Labor Co,Political Action Committee,Manhattan,New York,NY,10001.0,,1000.0,0.0,0.0,Check,1000.0
144,2017,326,"de Blasio, Bill",2017-09-18,New York City Central Labor Co,Political Action Committee,Manhattan,New York,NY,10001.0,,3950.0,0.0,1000.0,Check,4950.0
145,2017,326,"de Blasio, Bill",2016-06-27,New York Hotel Trades Council,Labor Union,Manhattan,New York,NY,10036.0,,2500.0,0.0,0.0,Check,2500.0
146,2017,326,"de Blasio, Bill",2017-01-04,New York Hotel Trades Council,Political Action Committee,Manhattan,New York,NY,10036.0,,2450.0,0.0,0.0,Check,2450.0
147,2017,326,"de Blasio, Bill",2016-07-08,New York State Laborers PAC,Political Action Committee,Other,Albany,NY,12211.0,,4950.0,0.0,0.0,Check,4950.0
148,2017,326,"de Blasio, Bill",2017-05-05,New York UAW Region 9A PAC Cou,Political Action Committee,Other,Farmington,CT,6032.0,,2950.0,0.0,0.0,Check,2950.0
149,2017,2071,"Malliotakis, Nicole",2017-05-09,Nicole for New York,Other,Staten Island,Staten Island,NY,10306.0,,4500.0,0.0,0.0,Check,4500.0
150,2017,326,"de Blasio, Bill",2015-10-26,Nixon Peabody LLP NYS PAC,Political Action Committee,Other,Rochester,NY,14604.0,,2000.0,0.0,0.0,Check,2000.0
151,2017,326,"de Blasio, Bill",2017-09-18,NY Coca Cola Refreshments NONP,Political Action Committee,Other,Altanta,GA,30313.0,,1000.0,0.0,0.0,Check,1000.0
152,2017,2071,"Malliotakis, Nicole",2017-09-15,NY Republican County Committee,Candidate Committee,Manhattan,New York,NY,10028.0,,1000.0,0.0,0.0,Credit Card,1000.0
153,2017,326,"de Blasio, Bill",2015-10-23,NYC Property Tax Fairness PAC,Political Action Committee,Other,Albany,NY,12207.0,,2500.0,0.0,0.0,Check,2500.0
154,2017,326,"de Blasio, Bill",2016-07-01,NYSNA,Political Action Committee,Other,Albany,NY,12210.0,,4950.0,0.0,0.0,Check,4950.0
155,2017,326,"de Blasio, Bill",2015-10-16,Oilheat PAC,Political Action Committee,Manhattan,New York,NY,10122.0,,2500.0,0.0,0.0,Check,2500.0
156,2017,326,"de Blasio, Bill",2017-11-15,PFT Comittee to Support Public,Labor Union,Other,Philadelphia,PA,19103.0,,1000.0,0.0,0.0,Check,1000.0
157,2017,326,"de Blasio, Bill",2017-04-10,Plumbers & Pipefitters Local 4,Labor Union,Other,Sacramento,CA,95819.0,,4950.0,0.0,0.0,Check,4950.0
158,2017,326,"de Blasio, Bill",2016-07-11,Plumbers Loc. Union #1 NYC PAC,Political Action Committee,Queens,Long Island City,NY,11101.0,,1000.0,0.0,0.0,Check,1000.0
159,2017,326,"de Blasio, Bill",2017-01-09,Plumbers Loc. Union #1 NYC PAC,Political Action Committee,Queens,Long Island City,NY,11101.0,,1000.0,0.0,1000.0,Check,2000.0
160,2017,326,"de Blasio, Bill",2017-11-15,Progress & Justice Politcal Ac,Political Action Committee,Other,Newark,NJ,7104.0,,4950.0,0.0,0.0,Check,4950.0
161,2017,326,"de Blasio, Bill",2017-01-11,PSC PAC,Political Action Committee,Manhattan,New York,NY,10006.0,,3500.0,0.0,0.0,Check,3500.0
162,2017,326,"de Blasio, Bill",2017-07-06,PSC PAC,Political Action Committee,Manhattan,New York,NY,10006.0,,1450.0,0.0,3500.0,Check,4950.0
163,2017,326,"de Blasio, Bill",2016-06-07,Retail Wholesale & Dept. store,Political Action Committee,Manhattan,New York,NY,10001.0,,4379.76,0.0,0.0,Check,4379.76
164,2017,326,"de Blasio, Bill",2017-05-03,Richards 2017,Candidate Committee,Queens,Rosedale,NY,11422.0,,250.0,0.0,0.0,Check,250.0
165,2017,326,"de Blasio, Bill",2017-05-09,Richards 2017,Candidate Committee,Queens,Rosedale,NY,11422.0,,1000.0,0.0,250.0,Check,1250.0
166,2017,2071,"Malliotakis, Nicole",2017-11-09,RPAC OF NEW YORK STATE,Political Action Committee,Brooklyn,Brooklyn,NY,11210.0,,3525.0,0.0,0.0,Check,3525.0
167,2017,326,"de Blasio, Bill",2017-01-05,SEIU C.O.P.E.,Political Action Committee,Other,Washington,DC,20036.0,,4950.0,0.0,0.0,Check,4950.0
168,2017,326,"de Blasio, Bill",2017-01-05,SEIU C.O.P.E.,Political Action Committee,Other,Washington,DC,20036.0,,-4950.0,0.0,0.0,Unknown,-4950.0
169,2017,326,"de Blasio, Bill",2017-04-10,SEIU Local 1957 Committee Of I,Labor Union,Manhattan,New York,NY,10018.0,,4950.0,0.0,0.0,Check,4950.0
170,2017,326,"de Blasio, Bill",2017-03-11,SEIU PEA State Fund,Labor Union,Other,Washington,DC,20036.0,,4950.0,0.0,0.0,Check,4950.0
171,2017,2071,"Malliotakis, Nicole",2017-05-09,Sergeants Benevolent Assoc. Po,Political Action Committee,Manhattan,New York,NY,10013.0,,4900.0,0.0,0.0,Check,4900.0
172,2017,326,"de Blasio, Bill",2016-07-11,Social Serv Emps Union 371,Labor Union,Manhattan,New York,NY,10003.0,,2500.0,0.0,0.0,Check,2500.0
173,2017,326,"de Blasio, Bill",2017-09-25,Social Serv Emps Union Loc 371,Labor Union,Manhattan,New York,NY,10003.0,,2000.0,0.0,0.0,Check,2000.0
174,2017,326,"de Blasio, Bill",2017-01-10,SSL Political Action Committee,Political Action Committee,Manhattan,New York,NY,10038.0,,4950.0,0.0,0.0,Check,4950.0
175,2017,326,"de Blasio, Bill",2017-10-29,State and Local PAC of the Int,Political Action Committee,Manhattan,New York,NY,10001.0,,1000.0,0.0,0.0,Check,1000.0
176,2017,2071,"Malliotakis, Nicole",2017-07-26,State Conservative Campaign Co,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,1000.0,0.0,175.0,Check,1175.0
177,2017,2071,"Malliotakis, Nicole",2017-06-29,State Conservative Campaign Co,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,175.0,0.0,0.0,Check,175.0
178,2017,326,"de Blasio, Bill",2017-04-14,Steinberg for Sacramento Mayor,Candidate Committee,Other,Sacramento,CA,95814.0,,1000.0,0.0,0.0,Check,1000.0
179,2017,326,"de Blasio, Bill",2017-04-14,Steinberg for Sacramento Mayor,Candidate Committee,Other,Sacramento,CA,95814.0,,1000.0,0.0,0.0,Check,1000.0
180,2017,326,"de Blasio, Bill",2017-08-28,STONEWALL DEMOCRATS,Other,,New York,NY,10013.0,,100.0,0.0,0.0,Check,100.0
181,2017,2071,"Malliotakis, Nicole",2017-07-28,TEST DONATION,Other,Other,BATON ROUGE,LA,70810.0,,1.0,0.0,0.0,Credit Card,1.0
182,2017,2071,"Malliotakis, Nicole",2017-07-28,TEST DONATION,Other,Other,BATON ROUGE,LA,70810.0,,-1.0,0.0,0.0,Unknown,-1.0
183,2017,326,"de Blasio, Bill",2017-11-02,Texas American Federation of T,Political Action Committee,Other,Austin,TX,78704.0,,1000.0,0.0,0.0,Check,1000.0
184,2017,2071,"Malliotakis, Nicole",2017-07-10,The Captains Endowment Assn. P,Party Committee,Manhattan,New York,NY,10038.0,,1000.0,0.0,0.0,Check,1000.0
185,2017,326,"de Blasio, Bill",2017-05-09,The Edward Lewis Revocable Tru,Other,Manhattan,New York,NY,10024.0,,1000.0,0.0,0.0,Check,1000.0
186,2017,326,"de Blasio, Bill",2017-04-06,The Katzenberg Family Trust,Other,Other,Los Angeles,CA,90064.0,,4950.0,0.0,0.0,Check,4950.0
187,2017,326,"de Blasio, Bill",2017-04-06,The Spielberg Family Living Tr,Other,Other,Los Angeles,CA,90064.0,,4950.0,0.0,0.0,Check,4950.0
188,2017,326,"de Blasio, Bill",2017-10-30,Theatrical Teamsters Local 817,Political Action Committee,Other,Great Neck,NY,11021.0,,4950.0,0.0,0.0,Check,4950.0
189,2017,326,"de Blasio, Bill",2017-03-03,Thomas M Tully Trust,Other,Other,Chicago,IL,60602.0,,1500.0,0.0,0.0,Check,1500.0
190,2017,326,"de Blasio, Bill",2017-10-11,TPU Local One IATSE NYC,Political Action Committee,Manhattan,New York,NY,10036.0,,2450.0,0.0,2500.0,Check,4950.0
191,2017,326,"de Blasio, Bill",2016-07-05,TPU Local One IATSE NYC,Political Action Committee,Manhattan,New York,NY,10036.0,,2500.0,0.0,0.0,Check,2500.0
192,2017,326,"de Blasio, Bill",2017-01-09,UA Political Action Fund,Political Action Committee,Other,Annapolis,MD,21401.0,,4950.0,0.0,0.0,Check,4950.0
193,2017,326,"de Blasio, Bill",2017-01-09,UA Political Action Fund,Political Action Committee,Other,Annapolis,MD,21401.0,,-4950.0,0.0,0.0,Unknown,-4950.0
