,Election,CandidateID,CandidateName,Date,Name,ContributerType,BoroughName,City,State,ZipCode,ContributionState,Amount,MatchAmt,PrevAmt,PayMethod,TotalAmount
39,2017,326.0,"de Blasio, Bill",,Cozen O'Connor Empire State PA,Political Action Committee,Other,Philadelphia,PA,19103.0,,2000.0,0.0,0.0,Check,2000.0
40,2017,326.0,"de Blasio, Bill",,CSE Political Action Fund,Political Action Committee,Other,Albany,NY,12210.0,,2500.0,0.0,0.0,Check,2500.0
41,2017,326.0,"de Blasio, Bill",,CWA District One PAC,Political Action Committee,Manhattan,New York,NY,10005.0,,2500.0,0.0,0.0,Check,2500.0
42,2017,326.0,"de Blasio, Bill",,CWA District One PAC,Political Action Committee,Manhattan,New York,NY,10005.0,,2450.0,0.0,2500.0,Check,4950.0
43,2017,326.0,"de Blasio, Bill",,D & M PAC LLC,Political Action Committee,Manhattan,New York,NY,10158.0,,1500.0,0.0,0.0,Check,1500.0
44,2017,326.0,"de Blasio, Bill",,D&M P.A.C. LLC,Political Action Committee,Manhattan,New York,NY,10158.0,,200.0,0.0,0.0,Check,200.0
45,2017,2071.0,"Malliotakis, Nicole",,D.E.A.C.O.P.E. FUND,Political Action Committee,Manhattan,New York,NY,10007.0,,3950.0,0.0,1000.0,Check,4950.0
46,2017,2071.0,"Malliotakis, Nicole",,D.E.A.C.O.P.E. FUND,Political Action Committee,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
47,2017,326.0,"de Blasio, Bill",,DC 1707 - Local 253,Labor Union,Manhattan,New York,NY,10036.0,,500.0,0.0,0.0,Check,500.0
48,2017,326.0,"de Blasio, Bill",,DC 37,Other,Manhattan,New York,NY,10007.0,,3500.0,0.0,0.0,Check,3500.0
49,2017,326.0,"de Blasio, Bill",,DC 37,Other,Manhattan,New York,NY,10007.0,,1450.0,0.0,3500.0,Check,4950.0
50,2017,326.0,"de Blasio, Bill",,DC 37- Local 1320,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
51,2017,326.0,"de Blasio, Bill",,DC 37- Local 1407 PAC,Political Action Committee,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
52,2017,326.0,"de Blasio, Bill",,DC 37- Local 1505,Labor Union,Manhattan,New York,NY,10007.0,,1950.0,0.0,0.0,Check,1950.0
53,2017,326.0,"de Blasio, Bill",,DC 37- Local 461,Labor Union,Manhattan,New York,NY,10013.0,,3500.0,0.0,0.0,Check,3500.0
54,2017,326.0,"de Blasio, Bill",,DC 37- Local 508,Labor Union,Manhattan,New York,NY,10007.0,,3500.0,0.0,0.0,Check,3500.0
55,2017,326.0,"de Blasio, Bill",,DC 37- Local 638 Steamfitters,Political Action Committee,Queens,Long Island City,NY,11101.0,,500.0,0.0,0.0,Check,500.0
56,2017,326.0,"de Blasio, Bill",,DC 37-Local 1455,Labor Union,Manhattan,New York,NY,10007.0,,500.0,0.0,0.0,Check,500.0
57,2017,326.0,"de Blasio, Bill",,DC 37– Local 1070,Labor Union,,,,,,500.0,0.0,0.0,Check,500.0
58,2017,,"Albanese, Sal F",,DEA COPE Fund,Political Action Committee,Manhattan,New York,NY,10007.0,,2450.0,0.0,2500.0,Check,4950.0
59,2017,,"Albanese, Sal F",,DEA COPE Fund,Political Action Committee,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
60,2017,,"Albanese, Sal F",,DEA COPE Fund,Political Action Committee,Manhattan,New York,NY,10007.0,,1500.0,0.0,1000.0,Check,2500.0
61,2017,2055.0,"De La Fuente, Roque R",,Derrick Lee,Candidate Committee,Manhattan,New York,NY,10036.0,,100.0,0.0,0.0,Cash,100.0
62,2017,,"Albanese, Sal F",,Detectove Investigators Associ,Political Action Committee,Manhattan,New York,NY,10013.0,,250.0,0.0,0.0,Check,250.0
63,2017,,"Albanese, Sal F",,Detectove Investigators Associ,Political Action Committee,Manhattan,New York,NY,10013.0,,-250.0,0.0,0.0,Unknown,-250.0
64,2017,,"Albanese, Sal F",,DRIVE Commitee,Political Action Committee,Other,Washington,DC,20001.0,,2500.0,0.0,0.0,Check,2500.0
65,2017,326.0,"de Blasio, Bill",,Duane Morris LLP,Political Action Committee,Other,Philadelphia,PA,19103.0,,1000.0,0.0,0.0,Check,1000.0
66,2017,2071.0,"Malliotakis, Nicole",,EMPIRE DENTAL POLITICAL ACTION,Political Action Committee,Other,ALBANY,NY,12211.0,,500.0,0.0,0.0,Check,500.0
